CurrentProduct,RecommendedProduct,Support,Confidence,Lift
SKUID=7, FeatureID=5,0.020408163,1,49
FeatureID=5, SKUID=7,0.020408163,1,49
SKUID=6, FeatureID=555,0.030612245,1,32.66666667
FeatureID=555, SKUID=6,0.030612245,1,32.66666667
FeatureID=3, SKUID=3,0.040816327,1,1.633333333
FeatureID=2, SKUID=2,0.051020408,1,8.166666667
FeatureID=1, SKUID=2,0.071428571,1,8.166666667
FeatureID=99999, SKUID=1,0.091836735,1,10.88888889
SKUID=1, FeatureID=99999,0.091836735,1,10.88888889
SKUID=4, FeatureID=4,0.12244898,1,1.441176471
SKUID=3, FeatureID=4,0.571428571,0.933333333,1.345098039
FeatureID=4, SKUID=3,0.571428571,0.823529412,1.345098039
SKUID=2, FeatureID=1,0.071428571,0.583333333,8.166666667
SKUID=2, FeatureID=2,0.051020408,0.416666667,8.166666667
FeatureID=4, SKUID=4,0.12244898,0.176470588,1.441176471
SKUID=3, FeatureID=3,0.040816327,0.066666667,1.633333333
